date,monthly_return
2014-01-01,3.3327223783574667e-05
2014-02-01,4.165712110459907e-05
2014-03-01,4.165712110459907e-05
2014-04-01,2.4996563158685703e-05
2014-05-01,2.4996563158685703e-05
2014-06-01,3.3327223783574667e-05
2014-07-01,2.4996563158685703e-05
2014-08-01,2.4996563158685703e-05
2014-09-01,1.6665139084048874e-05
2014-10-01,1.6665139084048874e-05
2014-11-01,1.6665139084048874e-05
2014-12-01,2.4996563158685703e-05
2015-01-01,2.4996563158685703e-05
2015-02-01,1.6665139084048874e-05
2015-03-01,2.4996563158685703e-05
2015-04-01,1.6665139084048874e-05
2015-05-01,1.6665139084048874e-05
2015-06-01,1.6665139084048874e-05
2015-07-01,2.4996563158685703e-05
2015-08-01,5.831462642125196e-05
2015-09-01,1.6665139084048874e-05
2015-10-01,1.6665139084048874e-05
2015-11-01,9.994504212973432e-05
2015-12-01,0.0001914649144576508
2016-01-01,0.00021640890030050208
2016-02-01,0.0002579670100431031
2016-03-01,0.00024134604527370485
2016-04-01,0.0001914649144576508
2016-05-01,0.00022472204186096967
2016-06-01,0.00022472204186096967
2016-07-01,0.00024965690741618474
2016-08-01,0.00024965690741618474
2016-09-01,0.00024134604527370485
2016-10-01,0.0002745849373302356
2016-11-01,0.00037422877886217343
2016-12-01,0.0004240097874610438
2017-01-01,0.0004240097874610438
2017-02-01,0.00043230397371596396
2017-03-01,0.0006145849741192588
2017-04-01,0.0006642346436225299
2017-05-01,0.000738658376514767
2017-06-01,0.0008130212763268752
2017-07-01,0.0008873234469353175
2017-08-01,0.0008377954090970086
2017-09-01,0.0008543077507923158
2017-10-01,0.0008873234469353175
2017-11-01,0.0010192665680117674
2017-12-01,0.0010934005891671816
2018-01-01,0.0011674742711142994
2018-02-01,0.001299012149938772
2018-03-01,0.0014057468926966799
2018-04-01,0.0014549669057570824
2018-05-01,0.0015369411743291206
2018-06-01,0.001569710227413701
2018-07-01,0.00161884170512816
2018-08-01,0.0016761282769228725
2018-09-01,0.0017579037712718293
2018-10-01,0.001855937535336194
2018-11-01,0.001921234803683225
2018-12-01,0.0019538658918776264
2019-01-01,0.0019538658918776264
2019-02-01,0.001970177053312705
2019-03-01,0.001978331538843303
2019-04-01,0.0019620218377029985
2019-05-01,0.001937551809032545
2019-06-01,0.0017905934192179451
2019-07-01,0.00173337883251512
2019-08-01,0.0016106549662961989
2019-09-01,0.0015615190697231274
2019-10-01,0.001364709877352599
2019-11-01,0.0012743632726075482
2019-12-01,0.0012743632726075482
2020-01-01,0.0012579269787644787
2020-02-01,0.0012579269787644787
2020-03-01,0.00024134604527370485
2020-04-01,0.00011659187244639213
2020-05-01,0.00010826883828274347
2020-06-01,0.0001332356553898073
2020-07-01,0.00010826883828274347
2020-08-01,8.329516327321151e-05
2020-09-01,9.162048384192545e-05
2020-10-01,8.329516327321151e-05
2020-11-01,7.496908027748717e-05
2020-12-01,7.496908027748717e-05
2021-01-01,6.66422347088691e-05
2021-02-01,3.3327223783574667e-05
2021-03-01,2.4996563158685703e-05
2021-04-01,1.6665139084048874e-05
2021-05-01,1.6665139084048874e-05
2021-06-01,3.3327223783574667e-05
2021-07-01,4.165712110459907e-05
2021-08-01,4.165712110459907e-05
2021-09-01,3.3327223783574667e-05
2021-10-01,4.165712110459907e-05
2021-11-01,4.165712110459907e-05
2021-12-01,4.99862552685304e-05
2022-01-01,0.00012491414476678564
2022-02-01,0.0002745849373302356
2022-03-01,0.0003659292942366221
2022-04-01,0.0006311378751067132
2022-05-01,0.0008130212763268752
2022-06-01,0.0012332669717645128
2022-07-01,0.0018396059010297172
2022-08-01,0.002165683518015493
2022-09-01,0.0025716462189622202
2022-10-01,0.0030483680766628662
2022-11-01,0.0033942459274463044
2022-12-01,0.003474495003497502
2023-01-01,0.003706818930553135
2023-02-01,0.0037947872834442897
2023-03-01,0.003826754761650397
2023-04-01,0.004010350772625237
2023-05-01,0.004185619455328249
2023-06-01,0.004201536297631092
2023-07-01,0.004273127766158069
2023-08-01,0.004312876559829704
2023-09-01,0.0043287712331259165
2023-10-01,0.004344663139834726
2023-11-01,0.0042890293603305985
2023-12-01,0.0042651759303415915
2024-01-01,0.004249270180617826
2024-02-01,0.0042651759303415915
2024-03-01,0.0042651759303415915
2024-04-01,0.0042651759303415915
2024-05-01,0.004273127766158069
2024-06-01,0.0042651759303415915
2024-07-01,0.0042333616592649115
2024-08-01,0.004113959301397019
2024-09-01,0.003850723023570035
2024-10-01,0.0036828128357737633
2024-11-01,0.0036107566318024364
2024-12-01,0.0034905363507502507
